ref_date,acct_id,acct_sn,ccy_cd,l_s_type,value_date,opening_bal,closing_bal,inp_type,src_type,upd_userid,upd_datetime
"2022-02-22","748","RBC TOR (NOSTRO)","CAD","L","2022-02-18","126161.25","126161.25","0","1","System","2022-03-14 09:38:23"
"2022-02-22","752","NAT WEST LONDON","GBP","L","2022-02-18","75150.26","75007.86","0","1","System","2022-03-14 09:38:23"
"2022-02-22","753","BTMU NY","USD","L","2022-02-18","0.00","0.00","0","1","System","2022-03-14 09:38:23"
"2022-02-22","771","BTMU (JPY CLS)","JPY","L","2022-02-18","233394823.00","233394823.00","0","1","System","2022-03-14 09:38:23"
"2022-02-22","778","EUROCLEAR CUST","CAD","L","2022-02-18","0.00","0.00","0","1","System","2022-03-14 09:38:23"
"2022-02-22","781","BTMU LONDON - EUR","EUR","L","2022-02-18","2280.88","2280.88","0","1","System","2022-03-14 09:38:23"
"2022-02-22","790","STANDARD CHART HK","HKD","L","2022-02-18","13141.74","13141.74","0","1","System","2022-03-14 09:38:23"
"2022-02-22","791","EUROCLEAR CUST BR - 0","EUR","L","2022-02-18","500.00","500.00","0","1","System","2022-03-14 09:38:23"
"2022-02-22","851","FIRSTRAND BANK LTD","ZAR","L","2022-02-18","9024.06","9024.06","0","1","System","2022-03-14 09:38:23"
"2022-02-22","854","JP MORGAN CHASE NY 1","USD","L","2022-02-18","64344.37","64344.37","0","1","System","2022-03-14 09:38:23"
"2022-02-22","869","BTMU MEXICO","MXN","L","2022-02-18","301050.20","301050.20","0","1","System","2022-03-14 09:38:23"
"2022-02-22","871","JP MORGAN CHASE NY 2","USD","L","2022-02-18","0.00","0.00","0","1","System","2022-03-14 09:38:23"
"2022-02-22","877","MUTU NY CUSTEURO(JPY)48","JPY","L","2022-02-18","0.00","0.00","0","1","System","2022-03-14 09:38:23"
"2022-02-22","878","MUTU NY CUSTEURO(EUR)48","EUR","L","2022-02-18","0.00","0.00","0","1","System","2022-03-14 09:38:23"
"2022-02-22","879","MUTU NY CUSTEUR(USD)48","USD","L","2022-02-18","0.00","0.00","0","1","System","2022-03-14 09:38:23"
"2022-02-22","902","DEUT BK TR NY 1","USD","L","2022-02-18","8712.09","8712.09","0","1","System","2022-03-14 09:38:23"
"2022-02-22","922","BANKHANDLOWYWS","PLN","L","2022-02-18","47447.65","47447.65","0","1","System","2022-03-14 09:38:23"
"2022-02-22","924","HSBCHK","CNY","L","2022-02-18","0.00","0.00","0","1","System","2022-03-14 09:38:23"
"2022-02-22","930","C S (SWITZERLAND)","CHF","L","2022-02-18","29687.85","29687.85","0","1","System","2022-03-14 09:38:23"
"2022-02-22","1025","CITIBANKNY","USD","L","2022-02-18","0.00","0.00","0","1","System","2022-03-14 09:38:23"
"2022-02-22","1038","STANDARD CHART HK","CNY","L","2022-02-18","50014.21","50014.21","0","1","System","2022-03-14 09:38:23"
"2022-02-22","1207","ANZMEL","AUD","L","2022-02-18","119464.44","119464.44","0","1","System","2022-03-14 09:38:24"
"2022-02-18","1","DEUTSCHE BK TR NY","USD","L","2022-02-17","-9272154.06","390089.24","0","1","System","2022-02-18 09:00:22"
"2022-02-18","4","JP MORGAN CHASE NY","USD","L","2022-02-17","9058.95","9058.95","0","1","System","2022-02-18 09:00:22"
"2022-02-18","7","MUTU NY 41","USD","L","2022-02-17","0.00","0.00","0","1","System","2022-02-18 09:00:22"
"2022-02-18","8","EUROCLEAR CUST BR","USD","L","2022-02-17","0.00","0.00","0","1","System","2022-02-18 09:00:22"
"2022-02-18","37","FEDNY","USD","L","2022-02-17","5985298862.66","6098196095.88","0","1","System","2022-02-18 09:00:22"
"2022-02-18","157","MUTB TOKYO ( USD )","USD","L","2022-02-17","0.00","0.00","0","1","System","2022-02-18 09:00:22"
"2022-02-18","444","MUTB LDN","GBP","L","2022-02-17","0.00","0.00","0","1","System","2022-02-18 09:00:22"
"2022-02-18","495","SKANDISTOCKHOLM","SEK","L","2022-02-17","8334904.40","114904.40","0","1","System","2022-02-18 09:00:22"
"2022-02-18","504","DANSKE BANK COPENH","DKK","L","2022-02-17","23827.31","23827.31","0","1","System","2022-02-18 09:00:22"
"2022-02-18","511","DEN NOR BANK(DNB)","NOK","L","2022-02-17","77172.18","76122.18","0","1","System","2022-02-18 09:00:22"
"2022-02-18","516","WESTPACSYD","AUD","L","2022-02-17","0.00","0.00","0","1","System","2022-02-18 09:00:22"
"2022-02-18","522","EUROCLEAR CUST BR","JPY","L","2022-02-17","0.00","0.00","0","1","System","2022-02-18 09:00:22"
"2022-02-18","547","MUTB TOKYO (JPY)","JPY","L","2022-02-17","331926190.00","306125076.00","0","1","System","2022-02-18 09:00:22"
"2022-02-18","590","DEUTSCHFFT","EUR","L","2022-02-17","347096.44","347096.44","0","1","System","2022-02-18 09:00:22"
"2022-02-18","591","EUROCLEAR CUST BR - 1","EUR","L","2022-02-17","858.22","858.22","0","1","System","2022-02-18 09:00:23"
"2022-02-18","615","MUTB TOKYO ( EUR )","EUR","L","2022-02-17","0.00","0.00","0","1","System","2022-02-18 09:00:23"
"2022-02-18","649","BKOFNZWEL","NZD","L","2022-02-17","1850623.08","12623.08","0","1","System","2022-02-18 09:00:23"
"2022-02-18","653","DEVELOP BK SPR SPR","SGD","L","2022-02-17","13238.11","13238.11","0","1","System","2022-02-18 09:00:23"
"2022-02-18","743","BTMU LONDON - GBP","GBP","L","2022-02-17","500.00","500.00","0","1","System","2022-02-18 09:00:23"
"2022-02-18","748","RBC TOR (NOSTRO)","CAD","L","2022-02-17","131744.91","131744.91","0","1","System","2022-02-18 09:00:23"
"2022-02-18","752","NAT WEST LONDON","GBP","L","2022-02-17","75475.22","75475.22","0","1","System","2022-02-18 09:00:23"
"2022-02-18","753","BTMU NY","USD","L","2022-02-17","0.00","0.00","0","1","System","2022-02-18 09:00:23"
"2022-02-18","771","BTMU (JPY CLS)","JPY","L","2022-02-17","2194823.00","2194823.00","0","1","System","2022-02-18 09:00:23"
"2022-02-18","778","EUROCLEAR CUST","CAD","L","2022-02-17","0.00","0.00","0","1","System","2022-02-18 09:00:23"
"2022-02-18","781","BTMU LONDON - EUR","EUR","L","2022-02-17","2280.88","2280.88","0","1","System","2022-02-18 09:00:23"
"2022-02-18","790","STANDARD CHART HK","HKD","L","2022-02-17","13141.74","13141.74","0","1","System","2022-02-18 09:00:23"
"2022-02-18","791","EUROCLEAR CUST BR - 0","EUR","L","2022-02-17","500.00","500.00","0","1","System","2022-02-18 09:00:23"
"2022-02-18","851","FIRSTRAND BANK LTD","ZAR","L","2022-02-17","9024.06","9024.06","0","1","System","2022-02-18 09:00:23"
"2022-02-18","854","JP MORGAN CHASE NY 1","USD","L","2022-02-17","64344.37","64344.37","0","1","System","2022-02-18 09:00:23"
"2022-02-18","869","BTMU MEXICO","MXN","L","2022-02-17","301050.20","301050.20","0","1","System","2022-02-18 09:00:23"
"2022-02-18","871","JP MORGAN CHASE NY 2","USD","L","2022-02-17","0.00","0.00","0","1","System","2022-02-18 09:00:23"
"2022-02-18","877","MUTU NY CUSTEURO(JPY)48","JPY","L","2022-02-17","0.00","0.00","0","1","System","2022-02-18 09:00:24"
"2022-02-18","878","MUTU NY CUSTEURO(EUR)48","EUR","L","2022-02-17","0.00","0.00","0","1","System","2022-02-18 09:00:24"
"2022-02-18","879","MUTU NY CUSTEUR(USD)48","USD","L","2022-02-17","0.00","0.00","0","1","System","2022-02-18 09:00:24"
"2022-02-18","902","DEUT BK TR NY 1","USD","L","2022-02-17","8712.09","8712.09","0","1","System","2022-02-18 09:00:24"
"2022-02-18","922","BANKHANDLOWYWS","PLN","L","2022-02-17","47447.65","47447.65","0","1","System","2022-02-18 09:00:24"
"2022-02-18","924","HSBCHK","CNY","L","2022-02-17","0.00","0.00","0","1","System","2022-02-18 09:00:24"
"2022-02-18","930","C S (SWITZERLAND)","CHF","L","2022-02-17","29687.79","29687.79","0","1","System","2022-02-18 09:00:24"
"2022-02-18","1025","CITIBANKNY","USD","L","2022-02-17","0.00","0.00","0","1","System","2022-02-18 09:00:24"
"2022-02-18","1038","STANDARD CHART HK","CNY","L","2022-02-17","50014.21","50014.21","0","1","System","2022-02-18 09:00:24"
"2022-02-18","1207","ANZMEL","AUD","L","2022-02-17","117135.41","69207.41","0","1","System","2022-02-18 09:00:24"
"2022-02-18","1","DEUTSCHE BK TR NY","USD","S","2022-02-17","288028.24","208028.21","0","3","System","2022-02-18 09:00:35"
"2022-02-18","1038","STANDARD CHART HK","CNY","S","2022-02-17","50014.21","50014.21","0","3","System","2022-02-18 09:00:35"
"2022-02-18","1207","ANZMEL","AUD","S","2022-02-17","117135.41","69207.41","0","3","System","2022-02-18 09:00:35"
"2022-02-18","4","JP MORGAN CHASE NY","USD","S","2022-02-17","9058.95","9058.95","0","3","System","2022-02-18 09:00:35"
"2022-02-18","495","SKANDISTOCKHOLM","SEK","S","2022-02-17","8334904.40","114904.40","0","3","System","2022-02-18 09:00:35"
"2022-02-18","504","DANSKE BANK COPENH","DKK","S","2022-02-17","23827.31","23827.31","0","3","System","2022-02-18 09:00:35"
"2022-02-18","547","MUTB TOKYO (JPY)","JPY","S","2022-02-17","331926190.00","306125076.00","0","3","System","2022-02-18 09:00:35"
"2022-02-18","649","BKOFNZWEL","NZD","S","2022-02-18","12623.08","12623.08","0","3","System","2022-02-18 09:00:35"
"2022-02-18","653","DEVELOP BK SPR SPR","SGD","S","2022-02-17","13238.11","13238.11","0","3","System","2022-02-18 09:00:35"
"2022-02-18","7","MUTU NY 41","USD","S","2022-02-17","0.00","0.00","0","3","System","2022-02-18 09:00:35"
"2022-02-18","743","BTMU LONDON - GBP","GBP","S","2022-02-17","500.00","500.00","0","3","System","2022-02-18 09:00:35"
"2022-02-18","748","RBC TOR (NOSTRO)","CAD","S","2022-02-17","131744.91","131744.91","0","3","System","2022-02-18 09:00:35"
"2022-02-18","752","NAT WEST LONDON","GBP","S","2022-02-17","75462.52","75462.52","0","3","System","2022-02-18 09:00:35"
"2022-02-18","771","BTMU (JPY CLS)","JPY","S","2022-02-18","2194823.00","2194823.00","0","3","System","2022-02-18 09:00:35"
"2022-02-18","781","BTMU LONDON - EUR","EUR","S","2022-02-17","2280.88","2280.88","0","3","System","2022-02-18 09:00:35"
"2022-02-18","790","STANDARD CHART HK","HKD","S","2022-02-17","13141.74","13141.74","0","3","System","2022-02-18 09:00:35"
"2022-02-18","854","JP MORGAN CHASE NY 1","USD","S","2022-02-17","63794.36","63794.36","0","3","System","2022-02-18 09:00:35"
"2022-02-18","869","BTMU MEXICO","MXN","S","2022-02-17","301050.20","301050.20","0","3","System","2022-02-18 09:00:35"
"2022-02-18","877","MUTU NY CUSTEURO(JPY)48","JPY","S","2022-02-17","0.00","0.00","0","3","System","2022-02-18 09:00:35"
"2022-02-18","878","MUTU NY CUSTEURO(EUR)48","EUR","S","2022-02-17","0.00","0.00","0","3","System","2022-02-18 09:00:35"
"2022-02-18","902","DEUT BK TR NY 1","USD","S","2022-02-17","8712.09","8712.09","0","3","System","2022-02-18 09:00:35"
"2022-02-18","922","BANKHANDLOWYWS","PLN","S","2022-02-17","47447.65","47447.65","0","3","System","2022-02-18 09:00:35"
"2022-02-18","1025","CITIBANKNY","USD","S","2022-02-17","0.00","0.00","1","0","MirandaM","2022-02-18 09:01:12"
"2022-02-18","879","MUTU NY CUSTEUR(USD)48","USD","S","2022-02-17","0.00","0.00","1","0","MirandaM","2022-02-18 09:01:17"
"2022-02-18","37","FEDNY","USD","S","2022-02-17","0.00","6098196095.88","1","0","MirandaM","2022-02-18 09:01:31"
"2022-02-17","1","DEUTSCHE BK TR NY","USD","L","2022-02-16","236246.65","-9272154.06","0","1","System","2022-02-17 09:00:19"
"2022-02-17","4","JP MORGAN CHASE NY","USD","L","2022-02-16","238558.95","9058.95","0","1","System","2022-02-17 09:00:19"
"2022-02-17","7","MUTU NY 41","USD","L","2022-02-16","0.00","0.00","0","1","System","2022-02-17 09:00:19"
"2022-02-17","8","EUROCLEAR CUST BR","USD","L","2022-02-16","0.00","0.00","0","1","System","2022-02-17 09:00:19"
"2022-02-17","37","FEDNY","USD","L","2022-02-16","6587191830.58","5985298862.66","0","1","System","2022-02-17 09:00:19"
"2022-02-17","157","MUTB TOKYO ( USD )","USD","L","2022-02-16","0.00","0.00","0","1","System","2022-02-17 09:00:19"
"2022-02-17","444","MUTB LDN","GBP","L","2022-02-16","0.00","0.00","0","1","System","2022-02-17 09:00:19"
"2022-02-17","495","SKANDISTOCKHOLM","SEK","L","2022-02-16","8334904.40","8334904.40","0","1","System","2022-02-17 09:00:19"
"2022-02-17","504","DANSKE BANK COPENH","DKK","L","2022-02-16","23827.31","23827.31","0","1","System","2022-02-17 09:00:19"
"2022-02-17","511","DEN NOR BANK(DNB)","NOK","L","2022-02-16","77172.18","77172.18","0","1","System","2022-02-17 09:00:20"
"2022-02-17","516","WESTPACSYD","AUD","L","2022-02-16","0.00","0.00","0","1","System","2022-02-17 09:00:20"
"2022-02-17","522","EUROCLEAR CUST BR","JPY","L","2022-02-16","0.00","0.00","0","1","System","2022-02-17 09:00:20"
"2022-02-17","547","MUTB TOKYO (JPY)","JPY","L","2022-02-16","384834272.00","331926190.00","0","1","System","2022-02-17 09:00:20"
"2022-02-17","590","DEUTSCHFFT","EUR","L","2022-02-16","350822.88","347096.44","0","1","System","2022-02-17 09:00:20"
"2022-02-17","591","EUROCLEAR CUST BR - 1","EUR","L","2022-02-16","858.22","858.22","0","1","System","2022-02-17 09:00:20"
"2022-02-17","615","MUTB TOKYO ( EUR )","EUR","L","2022-02-16","0.00","0.00","0","1","System","2022-02-17 09:00:20"
"2022-02-17","649","BKOFNZWEL","NZD","L","2022-02-16","1850779.08","1850623.08","0","1","System","2022-02-17 09:00:20"
"2022-02-17","653","DEVELOP BK SPR SPR","SGD","L","2022-02-16","13278.11","13238.11","0","1","System","2022-02-17 09:00:20"
"2022-02-17","743","BTMU LONDON - GBP","GBP","L","2022-02-16","500.00","500.00","0","1","System","2022-02-17 09:00:20"
"2022-02-17","748","RBC TOR (NOSTRO)","CAD","L","2022-02-16","131744.91","131744.91","0","1","System","2022-02-17 09:00:20"
"2022-02-17","752","NAT WEST LONDON","GBP","L","2022-02-16","55554.37","75475.22","0","1","System","2022-02-17 09:00:20"
"2022-02-17","753","BTMU NY","USD","L","2022-02-16","0.00","0.00","0","1","System","2022-02-17 09:00:20"
"2022-02-17","771","BTMU (JPY CLS)","JPY","L","2022-02-16","2194822.00","2194823.00","0","1","System","2022-02-17 09:00:20"
"2022-02-17","778","EUROCLEAR CUST","CAD","L","2022-02-16","0.00","0.00","0","1","System","2022-02-17 09:00:20"
"2022-02-17","781","BTMU LONDON - EUR","EUR","L","2022-02-16","2285.88","2280.88","0","1","System","2022-02-17 09:00:20"
"2022-02-17","790","STANDARD CHART HK","HKD","L","2022-02-16","13141.74","13141.74","0","1","System","2022-02-17 09:00:20"
"2022-02-17","791","EUROCLEAR CUST BR - 0","EUR","L","2022-02-16","500.00","500.00","0","1","System","2022-02-17 09:00:21"
"2022-02-17","851","FIRSTRAND BANK LTD","ZAR","L","2022-02-16","9024.06","9024.06","0","1","System","2022-02-17 09:00:21"
"2022-02-17","854","JP MORGAN CHASE NY 1","USD","L","2022-02-16","63894.37","64344.37","0","1","System","2022-02-17 09:00:21"
"2022-02-17","869","BTMU MEXICO","MXN","L","2022-02-16","301050.20","301050.20","0","1","System","2022-02-17 09:00:21"
